symbol,name,sector,weight
ETR,ENTERGY CORP,Unknown,0.000735975435737633
XEL,XCEL ENERGY INC,Unknown,0.0007252860613701001
IDXX,IDEXX LABORATORIES INC,Unknown,0.0007026161803378324
EXC,EXELON CORP,Unknown,0.0006999438367459492
FLEX,FLEX LTD,Unknown,0.0006806669312853984
VTR,VENTAS INC,Unknown,0.0006770537626087323
VST,VISTRA CORP,Unknown,0.000676423209626378
HUM,HUMANA INC,Unknown,0.0006656637738163613
CMG,CHIPOTLE MEXICAN GRILL INC,Unknown,0.0006526823894018575
CBRE,CBRE GROUP INC   A,Unknown,0.0006517315555395768
AIG,AMERICAN INTERNATIONAL GROUP,Unknown,0.0006399912595347866
NDAQ,NASDAQ INC,Unknown,0.0006386400745725985
XYZ,BLOCK INC,Unknown,0.0006383498200251656
PRU,PRUDENTIAL FINANCIAL INC,Unknown,0.0006363680820806229
AXON,AXON ENTERPRISE INC,Unknown,0.0006357375290982685
YUM,YUM  BRANDS INC,Unknown,0.0006335656243812697
RSG,REPUBLIC SERVICES INC,Unknown,0.0006326648344064776
UAL,UNITED AIRLINES HOLDINGS INC,Unknown,0.0006325747554089984
KDP,KEURIG DR PEPPER INC,Unknown,0.0006237069785460451
MSCI,MSCI INC,Unknown,0.0006232365660036537
OXY,OCCIDENTAL PETROLEUM CORP,Unknown,0.000614188631145742
TTWO,TAKE TWO INTERACTIVE SOFTWRE,Unknown,0.0006108056643515228
SYY,SYSCO CORP,Unknown,0.0006088139176294825
MCHP,MICROCHIP TECHNOLOGY INC,Unknown,0.0006074126887798059
ED,CONSOLIDATED EDISON INC,Unknown,0.000606121556482604
ROP,ROPER TECHNOLOGIES INC,Unknown,0.0006047203276329273
A,AGILENT TECHNOLOGIES INC,Unknown,0.0006029487740158362
HIG,HARTFORD INSURANCE GROUP INC,Unknown,0.0005979644028219866
WAT,WATERS CORP,Unknown,0.0005915888115559582
IQV,IQVIA HOLDINGS INC,Unknown,0.0005855935538348418
PAYX,PAYCHEX INC,Unknown,0.0005848228779675198
ODFL,OLD DOMINION FREIGHT LINE,Unknown,0.0005839921494352115
DHI,DR HORTON INC,Unknown,0.0005812497444008445
IBKR,INTERACTIVE BROKERS GRO CL A,Unknown,0.0005784072515915005
NTAP,NETAPP INC,Unknown,0.0005711508879056754
PCG,P G + E CORP,Unknown,0.000565095577519573
PEG,PUBLIC SERVICE ENTERPRISE GP,Unknown,0.0005644450069822231
ADM,ARCHER DANIELS MIDLAND CO,Unknown,0.0005638244627773663
KVUE,KENVUE INC,Unknown,0.0005558674846667027
FANG,DIAMONDBACK ENERGY INC,Unknown,0.0005555371950092791
CCL,CARNIVAL CORP LTD,Unknown,0.0005541760012695932
MTB,M + T BANK CORP,Unknown,0.0005529549304148751
VMC,VULCAN MATERIALS CO,Unknown,0.0005515436927877008
JBL,JABIL INC,Unknown,0.0005488813579733152
IRM,IRON MOUNTAIN INC,Unknown,0.0005476702958960947
KMB,KIMBERLY CLARK CORP,Unknown,0.0005443974256543503
EME,EMCOR GROUP INC,Unknown,0.0005424357052648029
STLD,STEEL DYNAMICS INC,Unknown,0.000535139306468987
HBAN,HUNTINGTON BANCSHARES INC,Unknown,0.0005311858393573995
WEC,WEC ENERGY GROUP INC,Unknown,0.0005308655584774734
EXPE,EXPEDIA GROUP INC,Unknown,0.0005297545841752298
WDAY,WORKDAY INC CLASS A,Unknown,0.0005234490543516852
ACGL,ARCH CAPITAL GROUP LTD,Unknown,0.0005215473866271241
NTRS,NORTHERN TRUST CORP,Unknown,0.0005142910229412989
TPR,TAPESTRY INC,Unknown,0.0004948339594857897
CCI,CROWN CASTLE INC,Unknown,0.0004944235996083844
VEEV,VEEVA SYSTEMS INC CLASS A,Unknown,0.0004935828622985784
KR,KROGER CO,Unknown,0.000490790413376723
ZTS,ZOETIS INC,Unknown,0.0004889688158721434
RMD,RESMED INC,Unknown,0.0004887686403221896
COIN,COINBASE GLOBAL INC  CLASS A,Unknown,0.0004881981400048213
MLM,MARTIN MARIETTA MATERIALS,Unknown,0.00048793791178988136
EQT,EQT CORP,Unknown,0.00048714721836756383
WTW,WILLIS TOWERS WATSON PLC,Unknown,0.0004847951556556067
GEHC,GE HEALTHCARE TECHNOLOGY,Unknown,0.0004827833913785711
DXCM,DEXCOM INC,Unknown,0.00048192263651376967
